name,rating,rate_date,nations,rank
B.C. Lara,892,01/01/2000,WI,1
S.R. Tendulkar,883,01/01/2000,IND,2
S.R. Waugh,833,01/01/2000,AUS,3
Saeed Anwar,781,01/01/2000,PAK,4
P.A. de Silva,770,01/01/2000,SL,5
N. Hussain,768,01/01/2000,ENG,6
R.T. Ponting,758,01/01/2000,AUS,7
M.J. Slater,722,01/01/2000,AUS,8
A.J. Stewart,720,01/01/2000,ENG,9
A. Flower,703,01/01/2000,ZIM,10
R. Dravid,700,01/01/2000,IND,11
S.C. Ganguly,698,01/01/2000,IND,12
D.J. Cullinan,681,01/01/2000,SA,13
J.H. Kallis,662,01/01/2000,SA,14
G. Kirsten,652,01/01/2000,SA,15
"Ijaz Ahmed, sen.",652,01/01/2000,PAK,15
Inzamam-ul-Haq,649,01/01/2000,PAK,17
M.E. Waugh,638,01/01/2000,AUS,18
S.P. Fleming,638,01/01/2000,NZ,18
W.J. Cronje,637,01/01/2000,SA,20
J.L. Langer,635,01/01/2000,AUS,21
N.J. Astle,631,01/01/2000,NZ,22
S. Ramesh,617,01/01/2000,IND,23
C.D. McMillan,611,01/01/2000,NZ,24
S. Chanderpaul,603,01/01/2000,WI,25
M. Azharuddin,602,01/01/2000,IND,26
A.C. Gilchrist,593,01/01/2000,AUS,27
C.L. Hooper,587,01/01/2000,WI,28
M.W. Goodwin,582,01/01/2000,ZIM,29
D.P.M.D. Jayawardena,581,01/01/2000,SL,30
S.L. Campbell,581,01/01/2000,WI,30
S.T. Jayasuriya,578,01/01/2000,SL,32
G.P. Thorpe,577,01/01/2000,ENG,33
J.N. Rhodes,576,01/01/2000,SA,34
G.S. Blewett,568,01/01/2000,AUS,35
Aamir Sohail,561,01/01/2000,PAK,36
M.A. Atherton,557,01/01/2000,ENG,37
M.R. Ramprakash,552,01/01/2000,ENG,38
C.L. Cairns,547,01/01/2000,NZ,39
A. Ranatunga,539,01/01/2000,SL,40
H.P. Tillekeratne,527,01/01/2000,SL,41
Mohammad Yousuf,524,01/01/2000,PAK,42
J.C. Adams,524,01/01/2000,WI,42
M.J. Horne,518,01/01/2000,NZ,44
S.M. Pollock,514,01/01/2000,SA,45
M.S. Atapattu,514,01/01/2000,SL,45
M.V. Boucher,503,01/01/2000,SA,47
Moin Khan,486,01/01/2000,PAK,48
L. Klusener,481,01/01/2000,SA,49
G.W. Flower,473,01/01/2000,ZIM,50
R.P. Arnold,471,01/01/2000,SL,51
A.F.G. Griffith,466,01/01/2000,WI,52
G.A. Hick,466,01/01/2000,ENG,52
M.A. Butcher,465,01/01/2000,ENG,54
J.P. Crawley,464,01/01/2000,ENG,55
R.D. Jacobs,462,01/01/2000,WI,56
G.J. Whittall,451,01/01/2000,ZIM,57
R.S. Kaluwitharana,450,01/01/2000,SL,58
Azhar Mahmood,447,01/01/2000,PAK,59
H.H. Gibbs,442,01/01/2000,SA,60
Mohammad Wasim,440,01/01/2000,PAK,61
N.C. Johnson,426,01/01/2000,ZIM,62
M.S. Sinclair,422,01/01/2000,NZ,63
M.T.G. Elliott,421,01/01/2000,AUS,64
A.C. Parore,418,01/01/2000,NZ,65
C.M. Spearman,416,01/01/2000,NZ,66
A.D.R. Campbell,407,01/01/2000,ZIM,67
S.C. Williams,396,01/01/2000,WI,68
Shahid Afridi,390,01/01/2000,PAK,69
T.M. Dilshan,385,01/01/2000,SL,70
Wasim Akram,366,01/01/2000,PAK,71
P.A. Strang,353,01/01/2000,ZIM,72
G.J. Rennie,349,01/01/2000,ZIM,73
V.V.S. Laxman,340,01/01/2000,IND,74
J.R. Murray,331,01/01/2000,WI,75
A.J. Tudor,324,01/01/2000,ENG,76
N.R. Mongia,321,01/01/2000,IND,77
Wajahatullah Wasti,309,01/01/2000,PAK,78
H.D.P.K. Dharmasena,300,01/01/2000,SL,79
D.J. Nash,299,01/01/2000,NZ,80
S.K. Warne,295,01/01/2000,AUS,81
N.V. Knight,283,01/01/2000,ENG,82
A. Jadeja,280,01/01/2000,IND,83
A. Kumble,275,01/01/2000,IND,84
D.L. Vettori,274,01/01/2000,NZ,85
A. Flintoff,273,01/01/2000,ENG,86
C.Z. Harris,271,01/01/2000,NZ,87
H.H. Kanitkar,263,01/01/2000,IND,88
M.P. Vaughan,257,01/01/2000,ENG,89
Naved Ashraf,246,01/01/2000,PAK,90
H.H. Streak,244,01/01/2000,ZIM,91
W.P.U.J.C. Vaas,243,01/01/2000,SL,92
D.S. Lehmann,239,01/01/2000,AUS,93
Rashid Latif,235,01/01/2000,PAK,94
A.R. Caddick,234,01/01/2000,ENG,95
D.W. Fleming,233,01/01/2000,AUS,96
N.A.M. McLean,233,01/01/2000,WI,96
J. Srinath,232,01/01/2000,IND,98
D.G. Cork,228,01/01/2000,ENG,99
B. Lee,219,01/01/2000,AUS,100
B.C. Lara,892,07/01/2000,WI,1
S.R. Tendulkar,871,07/01/2000,IND,2
S.R. Waugh,833,07/01/2000,AUS,3
R.T. Ponting,815,07/01/2000,AUS,4
Saeed Anwar,781,07/01/2000,PAK,5
P.A. de Silva,770,07/01/2000,SL,6
N. Hussain,742,07/01/2000,ENG,7
J.L. Langer,727,07/01/2000,AUS,8
D.J. Cullinan,717,07/01/2000,SA,9
A.J. Stewart,707,07/01/2000,ENG,10
A. Flower,703,07/01/2000,ZIM,11
M.J. Slater,703,07/01/2000,AUS,11
J.H. Kallis,697,07/01/2000,SA,13
R. Dravid,676,07/01/2000,IND,14
S.C. Ganguly,670,07/01/2000,IND,15
G. Kirsten,670,07/01/2000,SA,15
"Ijaz Ahmed, sen.",652,07/01/2000,PAK,17
Inzamam-ul-Haq,649,07/01/2000,PAK,18
S.P. Fleming,638,07/01/2000,NZ,19
M.E. Waugh,633,07/01/2000,AUS,20
N.J. Astle,631,07/01/2000,NZ,21
W.J. Cronje,621,07/01/2000,SA,22
A.C. Gilchrist,621,07/01/2000,AUS,22
C.D. McMillan,611,07/01/2000,NZ,24
S. Ramesh,611,07/01/2000,IND,24
S. Chanderpaul,603,07/01/2000,WI,26
M. Azharuddin,596,07/01/2000,IND,27
M.A. Atherton,591,07/01/2000,ENG,28
C.L. Hooper,587,07/01/2000,WI,29
M.W. Goodwin,582,07/01/2000,ZIM,30
D.P.M.D. Jayawardena,581,07/01/2000,SL,31
S.L. Campbell,581,07/01/2000,WI,31
S.T. Jayasuriya,578,07/01/2000,SL,33
G.P. Thorpe,572,07/01/2000,ENG,34
J.N. Rhodes,567,07/01/2000,SA,35
Aamir Sohail,561,07/01/2000,PAK,36
G.S. Blewett,560,07/01/2000,AUS,37
M.R. Ramprakash,547,07/01/2000,ENG,38
C.L. Cairns,547,07/01/2000,NZ,38
A. Ranatunga,539,07/01/2000,SL,40
H.P. Tillekeratne,527,07/01/2000,SL,41
J.C. Adams,524,07/01/2000,WI,42
Mohammad Yousuf,524,07/01/2000,PAK,42
M.J. Horne,518,07/01/2000,NZ,44
M.S. Atapattu,514,07/01/2000,SL,45
M.V. Boucher,508,07/01/2000,SA,46
S.M. Pollock,498,07/01/2000,SA,47
Moin Khan,486,07/01/2000,PAK,48
G.W. Flower,473,07/01/2000,ZIM,49
R.P. Arnold,471,07/01/2000,SL,50
V.V.S. Laxman,470,07/01/2000,IND,51
A.F.G. Griffith,466,07/01/2000,WI,52
M.A. Butcher,466,07/01/2000,ENG,52
L. Klusener,465,07/01/2000,SA,54
R.D. Jacobs,462,07/01/2000,WI,55
G.A. Hick,461,07/01/2000,ENG,56
J.P. Crawley,460,07/01/2000,ENG,57
G.J. Whittall,451,07/01/2000,ZIM,58
R.S. Kaluwitharana,450,07/01/2000,SL,59
Azhar Mahmood,447,07/01/2000,PAK,60
H.H. Gibbs,444,07/01/2000,SA,61
Mohammad Wasim,440,07/01/2000,PAK,62
N.C. Johnson,426,07/01/2000,ZIM,63
M.S. Sinclair,422,07/01/2000,NZ,64
A.C. Parore,418,07/01/2000,NZ,65
M.T.G. Elliott,417,07/01/2000,AUS,66
C.M. Spearman,416,07/01/2000,NZ,67
A.D.R. Campbell,407,07/01/2000,ZIM,68
S.C. Williams,396,07/01/2000,WI,69
Shahid Afridi,390,07/01/2000,PAK,70
T.M. Dilshan,385,07/01/2000,SL,71
Wasim Akram,366,07/01/2000,PAK,72
P.A. Strang,353,07/01/2000,ZIM,73
G.J. Rennie,349,07/01/2000,ZIM,74
J.R. Murray,331,07/01/2000,WI,75
A.J. Tudor,321,07/01/2000,ENG,76
N.R. Mongia,318,07/01/2000,IND,77
Wajahatullah Wasti,309,07/01/2000,PAK,78
H.D.P.K. Dharmasena,300,07/01/2000,SL,79
D.J. Nash,299,07/01/2000,NZ,80
S.K. Warne,295,07/01/2000,AUS,81
A. Flintoff,291,07/01/2000,ENG,82
M.P. Vaughan,291,07/01/2000,ENG,82
A. Kumble,283,07/01/2000,IND,84
N.V. Knight,280,07/01/2000,ENG,85
A. Jadeja,278,07/01/2000,IND,86
D.L. Vettori,274,07/01/2000,NZ,87
C.Z. Harris,271,07/01/2000,NZ,88
Naved Ashraf,246,07/01/2000,PAK,89
H.H. Streak,244,07/01/2000,ZIM,90
W.P.U.J.C. Vaas,243,07/01/2000,SL,91
D.S. Lehmann,236,07/01/2000,AUS,92
Rashid Latif,235,07/01/2000,PAK,93
N.A.M. McLean,233,07/01/2000,WI,94
D.W. Fleming,233,07/01/2000,AUS,94
J. Srinath,231,07/01/2000,IND,96
A.R. Caddick,228,07/01/2000,ENG,97
D.G. Cork,226,07/01/2000,ENG,98
B. Lee,219,07/01/2000,AUS,99
S.B. Doull,218,07/01/2000,NZ,100
B.C. Lara,892,21/01/2000,WI,1
S.R. Tendulkar,871,21/01/2000,IND,2
S.R. Waugh,833,21/01/2000,AUS,3
R.T. Ponting,815,21/01/2000,AUS,4
Saeed Anwar,781,21/01/2000,PAK,5
P.A. de Silva,770,21/01/2000,SL,6
N. Hussain,734,21/01/2000,ENG,7
J.L. Langer,727,21/01/2000,AUS,8
A.J. Stewart,727,21/01/2000,ENG,8
D.J. Cullinan,718,21/01/2000,SA,10
M.J. Slater,703,21/01/2000,AUS,11
A. Flower,703,21/01/2000,ZIM,11
J.H. Kallis,687,21/01/2000,SA,13
R. Dravid,676,21/01/2000,IND,14
S.C. Ganguly,670,21/01/2000,IND,15
G. Kirsten,652,21/01/2000,SA,16
"Ijaz Ahmed, sen.",652,21/01/2000,PAK,16
Inzamam-ul-Haq,649,21/01/2000,PAK,18
S.P. Fleming,638,21/01/2000,NZ,19
M.E. Waugh,633,21/01/2000,AUS,20
N.J. Astle,631,21/01/2000,NZ,21
A.C. Gilchrist,621,21/01/2000,AUS,22
S. Ramesh,611,21/01/2000,IND,23
C.D. McMillan,611,21/01/2000,NZ,23
W.J. Cronje,604,21/01/2000,SA,25
S. Chanderpaul,603,21/01/2000,WI,26
M. Azharuddin,596,21/01/2000,IND,27
C.L. Hooper,587,21/01/2000,WI,28
M.W. Goodwin,582,21/01/2000,ZIM,29
D.P.M.D. Jayawardena,581,21/01/2000,SL,30
S.L. Campbell,581,21/01/2000,WI,30
M.A. Atherton,579,21/01/2000,ENG,32
S.T. Jayasuriya,578,21/01/2000,SL,33
G.P. Thorpe,566,21/01/2000,ENG,34
Aamir Sohail,561,21/01/2000,PAK,35
J.N. Rhodes,561,21/01/2000,SA,35
G.S. Blewett,560,21/01/2000,AUS,37
C.L. Cairns,547,21/01/2000,NZ,38
M.R. Ramprakash,541,21/01/2000,ENG,39
A. Ranatunga,539,21/01/2000,SL,40
H.P. Tillekeratne,527,21/01/2000,SL,41
J.C. Adams,524,21/01/2000,WI,42
Mohammad Yousuf,524,21/01/2000,PAK,42
M.J. Horne,518,21/01/2000,NZ,44
M.S. Atapattu,514,21/01/2000,SL,45
M.V. Boucher,502,21/01/2000,SA,46
L. Klusener,502,21/01/2000,SA,46
S.M. Pollock,499,21/01/2000,SA,48
Moin Khan,486,21/01/2000,PAK,49
M.A. Butcher,475,21/01/2000,ENG,50
G.W. Flower,473,21/01/2000,ZIM,51
R.P. Arnold,471,21/01/2000,SL,52
V.V.S. Laxman,470,21/01/2000,IND,53
A.F.G. Griffith,466,21/01/2000,WI,54
R.D. Jacobs,462,21/01/2000,WI,55
G.A. Hick,457,21/01/2000,ENG,56
J.P. Crawley,455,21/01/2000,ENG,57
G.J. Whittall,451,21/01/2000,ZIM,58
R.S. Kaluwitharana,450,21/01/2000,SL,59
Azhar Mahmood,447,21/01/2000,PAK,60
Mohammad Wasim,440,21/01/2000,PAK,61
H.H. Gibbs,429,21/01/2000,SA,62
N.C. Johnson,426,21/01/2000,ZIM,63
M.S. Sinclair,422,21/01/2000,NZ,64
A.C. Parore,418,21/01/2000,NZ,65
M.T.G. Elliott,417,21/01/2000,AUS,66
C.M. Spearman,416,21/01/2000,NZ,67
A.D.R. Campbell,407,21/01/2000,ZIM,68
S.C. Williams,396,21/01/2000,WI,69
Shahid Afridi,390,21/01/2000,PAK,70
T.M. Dilshan,385,21/01/2000,SL,71
M.P. Vaughan,385,21/01/2000,ENG,71
Wasim Akram,366,21/01/2000,PAK,73
P.A. Strang,353,21/01/2000,ZIM,74
G.J. Rennie,349,21/01/2000,ZIM,75
J.R. Murray,331,21/01/2000,WI,76
N.R. Mongia,318,21/01/2000,IND,77
A.J. Tudor,317,21/01/2000,ENG,78
Wajahatullah Wasti,309,21/01/2000,PAK,79
H.D.P.K. Dharmasena,300,21/01/2000,SL,80
D.J. Nash,299,21/01/2000,NZ,81
S.K. Warne,295,21/01/2000,AUS,82
A. Flintoff,288,21/01/2000,ENG,83
A. Kumble,283,21/01/2000,IND,84
A. Jadeja,278,21/01/2000,IND,85
N.V. Knight,277,21/01/2000,ENG,86
D.L. Vettori,274,21/01/2000,NZ,87
C.Z. Harris,271,21/01/2000,NZ,88
Naved Ashraf,246,21/01/2000,PAK,89
H.H. Streak,244,21/01/2000,ZIM,90
W.P.U.J.C. Vaas,243,21/01/2000,SL,91
D.S. Lehmann,236,21/01/2000,AUS,92
Rashid Latif,235,21/01/2000,PAK,93
D.W. Fleming,233,21/01/2000,AUS,94
N.A.M. McLean,233,21/01/2000,WI,94
J. Srinath,231,21/01/2000,IND,96
D.G. Cork,223,21/01/2000,ENG,97
P.C. Strydom,221,21/01/2000,SA,98
B. Lee,219,21/01/2000,AUS,99
A.R. Caddick,219,21/01/2000,ENG,99
B.C. Lara,892,29/02/2000,WI,1
S.R. Tendulkar,879,29/02/2000,IND,2
S.R. Waugh,833,29/02/2000,AUS,3
R.T. Ponting,815,29/02/2000,AUS,4
Saeed Anwar,781,29/02/2000,PAK,5
P.A. de Silva,770,29/02/2000,SL,6
N. Hussain,734,29/02/2000,ENG,7
A.J. Stewart,727,29/02/2000,ENG,8
J.L. Langer,727,29/02/2000,AUS,8
D.J. Cullinan,711,29/02/2000,SA,10
A. Flower,703,29/02/2000,ZIM,11
M.J. Slater,703,29/02/2000,AUS,11
J.H. Kallis,688,29/02/2000,SA,13
R. Dravid,682,29/02/2000,IND,14
G. Kirsten,663,29/02/2000,SA,15
S.C. Ganguly,657,29/02/2000,IND,16
"Ijaz Ahmed, sen.",652,29/02/2000,PAK,17
Inzamam-ul-Haq,649,29/02/2000,PAK,18
S.P. Fleming,638,29/02/2000,NZ,19
M.E. Waugh,633,29/02/2000,AUS,20
N.J. Astle,631,29/02/2000,NZ,21
A.C. Gilchrist,621,29/02/2000,AUS,22
C.D. McMillan,611,29/02/2000,NZ,23
S. Ramesh,605,29/02/2000,IND,24
S. Chanderpaul,603,29/02/2000,WI,25
M. Azharuddin,590,29/02/2000,IND,26
C.L. Hooper,587,29/02/2000,WI,27
M.W. Goodwin,582,29/02/2000,ZIM,28
S.L. Campbell,581,29/02/2000,WI,29
D.P.M.D. Jayawardena,581,29/02/2000,SL,29
W.J. Cronje,581,29/02/2000,SA,29
M.A. Atherton,579,29/02/2000,ENG,32
S.T. Jayasuriya,578,29/02/2000,SL,33
G.P. Thorpe,566,29/02/2000,ENG,34
Aamir Sohail,561,29/02/2000,PAK,35
G.S. Blewett,560,29/02/2000,AUS,36
J.N. Rhodes,556,29/02/2000,SA,37
C.L. Cairns,547,29/02/2000,NZ,38
M.R. Ramprakash,541,29/02/2000,ENG,39
A. Ranatunga,539,29/02/2000,SL,40
H.P. Tillekeratne,527,29/02/2000,SL,41
J.C. Adams,524,29/02/2000,WI,42
Mohammad Yousuf,524,29/02/2000,PAK,42
M.J. Horne,518,29/02/2000,NZ,44
M.S. Atapattu,514,29/02/2000,SL,45
M.V. Boucher,509,29/02/2000,SA,46
L. Klusener,502,29/02/2000,SA,47
H.H. Gibbs,501,29/02/2000,SA,48
Moin Khan,486,29/02/2000,PAK,49
M.A. Butcher,475,29/02/2000,ENG,50
G.W. Flower,473,29/02/2000,ZIM,51
R.P. Arnold,471,29/02/2000,SL,52
S.M. Pollock,469,29/02/2000,SA,53
A.F.G. Griffith,466,29/02/2000,WI,54
R.D. Jacobs,462,29/02/2000,WI,55
G.A. Hick,457,29/02/2000,ENG,56
J.P. Crawley,455,29/02/2000,ENG,57
G.J. Whittall,451,29/02/2000,ZIM,58
R.S. Kaluwitharana,450,29/02/2000,SL,59
